Graph_num, source, destination, for_mst_generation, naive_approach, heap_approach, mst_approach
1, 470, 4675, 0.069667, 0.08938, 0.004346, 0.008901, 
1, 538, 2258, 0.069667, 0.098012, 0.004838, 0.008017, 
1, 3519, 1056, 0.069667, 0.001406, 0.000286, 0.008087, 
1, 3466, 4236, 0.069667, 0.120795, 0.005529, 0.01028, 
1, 4744, 2585, 0.069667, 0.023438, 0.004255, 0.007539, 
1, 2534, 1218, 0.069667, 0.041274, 0.002297, 0.010979, 
1, 4037, 2953, 0.069667, 0.07518, 0.003628, 0.007253, 
1, 4711, 689, 0.069667, 0.121103, 0.00505, 0.010506, 
1, 3615, 1909, 0.069667, 0.103917, 0.004616, 0.010711, 
1, 391, 3235, 0.069667, 0.096797, 0.003665, 0.007578, 
2, 1991, 4464, 0.065464, 0.08918, 0.001749, 0.011177, 
2, 1056, 2163, 0.065464, 0.001747, 0.005602, 0.010607, 
2, 4577, 2036, 0.065464, 0.030852, 0.0025, 0.009469, 
2, 3462, 3931, 0.065464, 0.004082, 0.00063, 0.01198, 
2, 1324, 919, 0.065464, 0.035224, 0.002868, 0.012881, 
2, 1486, 844, 0.065464, 0.110212, 0.006892, 0.010847, 
2, 4695, 2192, 0.065464, 0.014657, 0.001732, 0.011332, 
2, 2372, 4871, 0.065464, 0.018552, 0.001224, 0.010136, 
2, 4286, 4144, 0.065464, 0.121404, 0.005596, 0.007948, 
2, 3831, 3420, 0.065464, 0.106711, 0.004949, 0.011707, 
3, 2616, 3965, 0.066895, 0.07461, 0.001287, 0.009351, 
3, 1898, 2649, 0.066895, 0.082569, 0.003967, 0.010572, 
3, 2970, 4101, 0.066895, 0.049572, 0.002537, 0.008587, 
3, 3725, 2547, 0.066895, 0.026447, 0.004347, 0.007667, 
3, 916, 761, 0.066895, 0.065154, 0.002241, 0.010596, 
3, 3949, 4405, 0.066895, 0.030841, 0.002794, 0.009849, 
3, 3404, 2623, 0.066895, 0.129934, 0.005901, 0.007798, 
3, 955, 4273, 0.066895, 0.077707, 0.000802, 0.010696, 
3, 3784, 4863, 0.066895, 0.108604, 0.007242, 0.013774, 
3, 4287, 4352, 0.066895, 0.123409, 0.007294, 0.011706, 
4, 1349, 727, 0.073524, 0.059331, 0.00451, 0.009911, 
4, 3886, 1279, 0.073524, 0.004448, 0.005852, 0.014892, 
4, 615, 1384, 0.073524, 0.020745, 0.002843, 0.014246, 
4, 4647, 2626, 0.073524, 0.04473, 0.003039, 0.011666, 
4, 4003, 328, 0.073524, 0.047026, 0.00464, 0.009288, 
4, 3361, 2240, 0.073524, 0.029993, 0.002186, 0.008398, 
4, 1014, 352, 0.073524, 0.001114, 0.000629, 0.008579, 
4, 1240, 1777, 0.073524, 0.125726, 0.005871, 0.011181, 
4, 1097, 2065, 0.073524, 0.043641, 0.000531, 0.008907, 
4, 2535, 2387, 0.073524, 0.028521, 0.000617, 0.015481, 
5, 4018, 2413, 0.06964, 0.038049, 0.005612, 0.012153, 
5, 3466, 842, 0.06964, 0.053511, 0.002749, 0.013434, 
5, 4938, 2096, 0.06964, 0.088042, 0.003904, 0.010225, 
5, 648, 1474, 0.06964, 0.03372, 0.001017, 0.010053, 
5, 1246, 3805, 0.06964, 0.138606, 0.005971, 0.00793, 
5, 4678, 4, 0.06964, 0.038669, 0.004456, 0.009523, 
5, 1282, 1400, 0.06964, 0.064573, 0.00171, 0.007647, 
5, 916, 970, 0.06964, 0.000362, 0.00019, 0.006642, 
5, 569, 1313, 0.06964, 0.048125, 0.002576, 0.007718, 
5, 1138, 3115, 0.06964, 0.061703, 0.003198, 0.007452, 
6, 4107, 3608, 0.069906, 0.021739, 0.003172, 0.013157, 
6, 992, 3308, 0.069906, 0.119156, 0.007927, 0.012137, 
6, 4082, 2371, 0.069906, 0.085845, 0.004203, 0.008061, 
6, 1539, 4828, 0.069906, 0.11862, 0.00513, 0.008209, 
6, 4991, 2727, 0.069906, 0.069768, 0.003469, 0.012185, 
6, 950, 4394, 0.069906, 0.113139, 0.005263, 0.007592, 
6, 1077, 482, 0.069906, 0.094835, 0.00445, 0.010926, 
6, 861, 325, 0.069906, 0.078397, 0.001852, 0.015899, 
6, 3911, 172, 0.069906, 0.105061, 0.006479, 0.013525, 
6, 4504, 4815, 0.069906, 0.078477, 0.004991, 0.012021, 
7, 1585, 201, 0.083965, 0.002269, 0.003942, 0.007936, 
7, 2077, 4201, 0.083965, 0.082553, 0.004847, 0.010612, 
7, 1110, 4647, 0.083965, 0.098941, 0.001357, 0.01227, 
7, 2223, 3287, 0.083965, 0.006868, 0.000706, 0.011748, 
7, 2026, 4777, 0.083965, 0.125449, 0.007313, 0.011587, 
7, 2020, 4679, 0.083965, 0.091426, 0.003669, 0.013092, 
7, 2662, 3512, 0.083965, 0.041096, 0.001546, 0.008993, 
7, 4149, 1232, 0.083965, 0.04115, 0.002549, 0.009144, 
7, 24, 3168, 0.083965, 0.095549, 0.001327, 0.010648, 
7, 3530, 4978, 0.083965, 0.109615, 0.005408, 0.007279, 
8, 1159, 3464, 0.068795, 0.118686, 0.007244, 0.008493, 
8, 1603, 3791, 0.068795, 0.092675, 0.00546, 0.012773, 
8, 4189, 1976, 0.068795, 0.022138, 0.001752, 0.009548, 
8, 748, 719, 0.068795, 0.111815, 0.005165, 0.007393, 
8, 4189, 1871, 0.068795, 0.08827, 0.004401, 0.012241, 
8, 1055, 3947, 0.068795, 0.113631, 0.005705, 0.014344, 
8, 4296, 1440, 0.068795, 0.006815, 0.000716, 0.008186, 
8, 3756, 2711, 0.068795, 0.122204, 0.005489, 0.007697, 
8, 4940, 4681, 0.068795, 8.6e-05, 0.000173, 0.007967, 
8, 2614, 3069, 0.068795, 0.019393, 0.001768, 0.01875, 
9, 4937, 2759, 0.077571, 0.089956, 0.005959, 0.011093, 
9, 476, 965, 0.077571, 0.020039, 0.00345, 0.010119, 
9, 1047, 350, 0.077571, 0.09394, 0.00455, 0.012612, 
9, 2222, 4261, 0.077571, 0.008618, 0.00057, 0.00989, 
9, 4965, 788, 0.077571, 0.073254, 0.002034, 0.0129, 
9, 2730, 1349, 0.077571, 0.039147, 0.001108, 0.00873, 
9, 124, 2992, 0.077571, 0.099813, 0.005195, 0.00855, 
9, 3610, 2456, 0.077571, 0.042579, 0.002471, 0.013277, 
9, 4086, 1009, 0.077571, 0.10778, 0.005504, 0.01312, 
9, 2561, 1726, 0.077571, 0.116832, 0.007072, 0.014116, 
10, 4823, 257, 0.07619, 0.12558, 0.008371, 0.013907, 
10, 4048, 4217, 0.07619, 0.044756, 0.002628, 0.010632, 
10, 2413, 4608, 0.07619, 0.060322, 0.004272, 0.01186, 
10, 2952, 1832, 0.07619, 0.100151, 0.006712, 0.016808, 
10, 35, 1017, 0.07619, 0.127122, 0.007325, 0.013248, 
10, 4846, 3947, 0.07619, 0.12687, 0.008478, 0.0124, 
10, 2153, 2026, 0.07619, 0.089255, 0.005764, 0.01037, 
10, 3427, 1345, 0.07619, 0.125257, 0.007442, 0.013337, 
10, 3825, 3204, 0.07619, 0.123016, 0.006528, 0.012609, 
10, 2912, 307, 0.07619, 0.084122, 0.006435, 0.009277, 
